DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,861,0,0,777,tree,y_weekday
test,0.8247863247863247,1.0,0.8235294117647058,0.8563829787234043,322,69,54,257,tree,y_weekday
train,1.0,1.0,1.0,1.0,861,0,0,777,RandomForest,y_weekday
test,0.8091168091168092,1.0,0.8260869565217391,0.8303341902313625,323,68,66,245,RandomForest,y_weekday
train,0.8681318681318682,0.8771331058020477,0.8954703832752613,0.8595317725752508,771,90,126,651,GradientBoosting,y_weekday
test,0.8034188034188035,0.8771331058020477,0.8414322250639387,0.8123456790123457,329,62,76,235,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,795,0,0,843,tree,y_weekend
test,0.7464387464387464,1.0,0.7435158501440923,0.7435158501440923,258,89,89,266,tree,y_weekend
train,1.0,1.0,1.0,1.0,795,0,0,843,RandomForest,y_weekend
test,0.8347578347578347,1.0,0.7521613832853026,0.8969072164948454,261,86,30,325,RandomForest,y_weekend
train,0.8638583638583639,0.8512341561040695,0.8025157232704403,0.90625,638,157,66,777,GradientBoosting,y_weekend
test,0.8404558404558404,0.8512341561040695,0.7579250720461095,0.9037800687285223,263,84,28,327,GradientBoosting,y_weekend
